titulo;label;n_token
Cate Blanchett’s Star Power Lifts ‘The Present’ on Broadway - The New York Times;0;22
Death toll in attack on mosque in Egypt's north Sinai rises to 184: state television;0;20
12 Injured After Molotov Cocktail Explodes in Paris Restaurant - Breitbart;0;18
 Patrick Stewart Literally Paid A Guy To Not Vote For Donald Trump (IMAGE);1;17
Obama Goes “Full Monty”: Kills Thousands More American Jobs With This Bold Executive Action;1;19
Podesta WikiLeaks UFO Updates — New Names Dragged Down the UFO Rabbit Hole;1;20
Philippines' Duterte orders army to recruit 10 new battalions to crush militants;0;17
Spain hopes Catalans disregard instruction from regional leaders: minister;0;13
Trump retreats on comments on raising taxes on the wealthy;0;13
China's Xi vows to 'open wider' while defending jobs;0;15
 WATCH: Racist Anti-Muslim Protesters Didn’t Expect To See This At Their Rally (VIDEO);1;22
Spate of Deadly Attacks in Syria Ahead of Cease-Fire - The New York Times;0;19
"NYU Prof Who Spoke Out Against ""Safe Spaces"" and ""Trigger Warnings"" Gets Pushed Out";1;20
Obama spars with Cuba's Castro over human rights in historic visit;0;16
 Trump Admits Democrats Are Hurting His Feelings With DNC Criticisms;1;13
 Texas Congressman HILARIOUSLY Trolls Trump, Says What The ENTIRE Congress Is Thinking (TWEET);1;21
Trump's Washington foreign policy speech;0;9
Boiler Room EP #82 – Mind-boggling Collusion;1;14
NATO agrees new military commands to protect Europe;0;10
Freeport Indonesia mine access road reopened after shooting: spokesman;0;13
CONFEDERATE MEMORIAL TAKEN DOWN On 153rd Anniversary Of Gettysburg Address…The Cleansing Continues [Video];1;20
Special counsel Mueller asks White House for Flynn documents - New York Times;0;15
The Trump Recession: He’s linked himself to potential economic calamity with Brexit stance;0;22
In Covering Civil Rights, Reporter Enhanced His Words With Film - The New York Times;0;18
Gorka: ‘I Guess the Obama Administration Were Islamophobes, as Well,’ Since They Created List of Nations for Trump Immigration Order;0;31
Tree Shaped Vertical Farms That Grow 24 Acres Of Urban Crops;1;13
 Trump Whines About Late Night Hosts Making Jokes About Him, Accuses Them Of Conspiring With Democrats;1;24
ADT to Pull Advertising from CNN After Kathy Griffin ’Beheading’ Photo;0;18
In a Big Hole for a Detroit House, but Happy - The New York Times;0;18
 Trump Stooge Devin Nunes Hands Investigation To Others As Ethics Committee Investigates Him;1;18
Debates to help half of U.S. voters decide between Clinton, Trump: poll;0;19
Factbox: Most Democrats oppose Trump Supreme Court pick, but not all;0;16
France overseas minister says two killed in French Caribbean islands after Irma;0;15
Airbus issues safety advice on Tiger helicopters flying in turbulence;0;12
 Did Hillary Clinton Seriously Criticize Bernie Sanders’ Grandchildren? (VIDEO);1;16
 George Takei Takes Trump Jr. To The Woodshed For Colluding With Russia;1;19
OBAMA’S FEDERAL AGENTS CAUGHT Spying On Law-Abiding Gun Show Customers;1;18
" Comedian Takes Subway Riding With Fake Books To HILARIOUS New Level; DESTROYS Trump (VIDEO)";1;19
‘STAY WOKE’? Democrat Lawmakers And Protesters Call For Conservative Websites To Be Banned: “We must insist that our freedom of speech is preserved.”… Huh?;1;36
Tillerson, Russia's Lavrov to meet on Sunday: U.S. State Dept;0;22
Austrian coalition talks set to begin, far right likely partner;0;13
Exclusive—Immigration Expert Urges Congress to Declare ’National Border Control Day’ - Breitbart;0;21
MEET THE NASTY WOMEN Responsible For Promoting Hate And Intolerance On Nazi-Themed Trump Billboard [VIDEO];1;23
Exclusive: White House declines to support encryption legislation - sources;0;13
Many Russian officials have good ties with Tillerson: Kremlin;0;15
Iran's Soleimani arrives in Kurdish region for talks about crisis with Baghdad;0;18
Don't scrap war crimes court, U.S. warns Kosovo;0;16
Obama, Republican Kasich meet to strategize on TPP trade deal;0;19
WHOA! NEW EMAILS SHOW COMEY FBI LIED About Meeting Between Bill Clinton and Loretta Lynch On Tarmac…Proves Media Colluded With Obama’s DOJ To Kill Story About Tarmac Meeting [VIDEO];1;44
Facing far-right gains, Merkel, Schulz urge undecided Germans to vote;0;21
2 MILLION HITS IN 2 DAYS: See Why Trump’s “USA Freedom Kids” Are A YUGE Viral Hit! [VIDEO];1;29
TEACHER’S LECTURE SPARKS OUTRAGE: “To Be White Is To Be Racist” [Video];1;21
Second U.S. judge blocks Trump administration birth control rules;0;14
Report: John McCain Claims Barack Obama Provided Better ’American Leadership’ Than Donald Trump;0;18
